,Username,Tweet,Polarity,Tweet_Tune
0,pedroevanf,"Japan's process for buying a gun requires an interview with the police about why you need a gun, a psych evaluation, 3 different permits and a background check that includes interviews of family and neighbors.",0.0,0
1,Mojocitarita,"One of the saddest developments in this story yet: 
https://t.co/atLUxG8EO4",0.0,0
2,0123Cathy,Maybe all this money spent on police departments and tactical gear and weapons is just giving more money to the gun industry whose products they are failing to keep us safe from in the first place. It’s a scam and we’re the cannon fodder.@GOP,0.2875,1
3,bluebird21833,BREAKING (@AP) : Senate Republicans just blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting.,-0.1,-1
4,byjesusrdgz,BREAKKING NEWS: Police: Reports of subject with a gun at Bel Air High School - KVIA https://t.co/SBlcWg3ISW,-0.003333333333333327,-1
5,DellaPManning,"Gun control DOESN’T work. 

It leaves law abiding citizens defenseless. 

SHALL NOT BE INFRINGED. https://t.co/LDNR3mrtpP",-0.4,-1
6,Analisa_Swan,The only thing that can stop a bad guy with a gun is a good guys voting every NRA backed politician the hell out in November.,3.700743415417188e-17,1
7,tinpanloner,How is my adderall harder to get than a gun,-0.1,-1
8,Jmart0291,"Something doesn’t add up. Yes, we can still ask questions and care about the victims at the same time.",0.0,0
9,parrjojo,"If the gun protectors in Congress are voted out, things may change. If they retain their seats, nothing will change.
Pretty simple.",0.125,1
10,momfungible,"@MeidasTouch Former POTUS on premises or not, this sounds like gun control to me. I thought the NRA was against that? Go figure",0.0,0
11,VickieW47132882,"19 kids are dead today. I used to make the argument that guns aren’t the problem. Years ago I stopped doing that. Because they are. We MUST stop doing what we’ve always done. To all my law-abiding gun owner friends, PLEASE, put down your politics and be a part of the solution. 💔",-0.1777777777777778,-1
12,Hg4Ar,".@MomsDemand helped me find my voice &amp; hone my skills. I realized we need new leaders in order to enact change, leading to a career in campaigns.

Thru @EmergeAmerica, I now have the honor of recruiting &amp; training women across Arkansas. 

Together, we’ll change the face of power.",0.13636363636363635,1
13,BettyBowers,"@AP @morgfair Nothing stops a bad guy with a gun except an incompetent, scared guy with a gun who is afraid to use it.",-0.5499999999999999,-1
14,FrancieJones,"""I said, 'What on Earth are you talking about? They’ve been in the Army for three months. They’ve only held a gun once.'”

One Russian mother tells @BBCSteveR the remarkable story of how she saved her sons from the war in Ukraine. For @BBCNews at 10 (Camera/edit @LizaVereykina) https://t.co/bRTOJUAJhh",0.25,1
15,GPaWeasel,@Chu_Crazy_Man @kimsmart122172 @WatchChad The NICS background check is managed by the FBI and a nation gun registry is explicitly illegal by law.  But.. do I believe the ATF and/or FBI don't have that info at their fingertips...  wanna buy some beach front property in Kansas?,-0.5,-1
